zip|county_fips|res_ratio
65548|29203|0.0774
65548|29215|0.0264
65550|29161|0.897
65550|29169|0.103
65552|29215|0.8804
65552|29169|0.0933
65552|29105|0.0263
65555|29215|1
65556|29169|0.6657
65556|29029|0.1823
65556|29105|0.1521
65557|29215|1
65559|29161|0.9051
65559|29125|0.0875
65559|29055|0.0037
65559|29073|0.0037
65560|29065|0.9468
65560|29055|0.0234
65560|29203|0.0227
65560|29161|0.0071
65564|29215|1
65565|29055|0.9732
65565|29221|0.0139
65565|29093|0.0129
65566|29093|1
65567|29029|0.8737
65567|29105|0.1263
65570|29215|1
65571|29215|0.7292
65571|29203|0.2708
65580|29125|1
65582|29125|1
65583|29169|1
65584|29169|1
65586|29055|1
65588|29203|0.9827
65588|29149|0.0173
65589|29215|1
65590|29059|1
65591|29029|1
65601|29167|0.6455
65601|29057|0.3114
65601|29039|0.0432
65603|29057|1
65604|29077|0.6929
65604|29109|0.2788
65604|29057|0.0283
65605|29109|0.8452
65605|29009|0.1548
65606|29149|1
65608|29067|0.9756
65608|29213|0.0179
65608|29153|0.0065
65609|29153|0.8027
65609|29091|0.1973
65610|29043|0.7441
65610|29209|0.1342
65610|29077|0.1041
65610|29109|0.0176
65611|29209|0.9709
65611|29213|0.0291
65612|29077|0.9044
65612|29109|0.0956
65613|29167|1
65614|29213|0.8672
65614|29043|0.1328
65616|29213|0.9177
65616|29209|0.0823
65617|29167|0.6327
65617|29077|0.3673
65618|29153|1
65619|29077|0.9731
65619|29043|0.0269
65620|29043|1
65622|29059|0.9477
65622|29167|0.0523
65623|29009|1
65624|29209|0.9417
65624|29009|0.0583
65625|29009|1
65626|29153|0.527
65626|29091|0.473
65627|29213|1
65629|29043|1
65630|29043|1
65631|29043|0.8643
65631|29209|0.1357
65632|29105|0.6231
65632|29225|0.2147
65632|29059|0.1622
65633|29209|0.8613
65633|29009|0.1387
65634|29085|0.974
65634|29015|0.0152
65634|29029|0.0108
65635|29057|0.7813
65635|29039|0.2188
65637|29153|0.6122
65637|29067|0.2191
65637|29091|0.1687
65638|29067|0.7985
65638|29153|0.2015
65640|29167|0.8287
65640|29039|0.1713
65641|29009|1
65644|29059|0.6157
65644|29225|0.3843
65646|29057|0.7631
65646|29109|0.2369
65647|29009|0.9834
65647|29119|0.0166
65648|29077|0.7274
65648|29059|0.1776
65648|29225|0.0576
65648|29167|0.0374
65649|29167|0.6714
65649|29039|0.3286
65650|29085|0.5617
65650|29167|0.4383
65652|29225|0.9061
65652|29043|0.0818
65652|29067|0.0121
65653|29213|0.9754
65653|29043|0.0246
65654|29109|1
65655|29153|1
65656|29209|0.9912
65656|29009|0.0067
65656|29043|0.0021
65657|29043|1
65658|29009|1
65660|29229|0.8667
65660|29215|0.1333
65661|29057|1
65662|29229|0.8088
65662|29105|0.1912
65663|29167|1
65664|29109|1
65667|29229|1
65668|29085|1
65669|29043|0.8708
65669|29209|0.1292
65672|29213|1
65674|29167|0.6427
65674|29039|0.2884
65674|29085|0.0371
65674|29185|0.0318
65676|29153|1
65679|29213|1
65680|29213|1
65681|29209|1
65682|29057|0.962
65682|29109|0.038
65685|29059|0.8085
65685|29167|0.1915
65686|29209|1
65689|29215|0.9416
65689|29067|0.0467
65689|29091|0.0117
65690|29149|1
65692|29149|0.7382
65692|29091|0.2618
65702|29229|0.723
65702|29067|0.277
65704|29229|0.8851
65704|29067|0.1149
65705|29109|0.9239
65705|29209|0.0761
65706|29225|1
65707|29109|1
65708|29009|0.6512
